School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,CRIMECLE,30.55,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,CRIMECLE,29.33,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,CRIMECLE,31.32,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,CRIMECLE,37.63,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,ACCMILE,50.5,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,ACCMILE,15.3,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,ACCMILE,45.6,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,ACCMILE,8,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,ACCMILE,31.5,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,ACCMILE,17.2,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,ACCMILE,16.9,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,ACCMILE,31.7,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,ACCMILE,17.2,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,ACCMILE,7,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,ACCMILE,19.4,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,ACCMILE,15.3,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,ACCMILE,20,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,ACCMILE,3.4,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,ACCMILE,9.5,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,ACCMILE,7.8,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PBA10M,7.19,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PBA10M,1.22,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PBA10M,7.34,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PBA10M,0.28,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PBA10M,3.04,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PBA10M,0.33,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PBA10M,1.26,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PBA10M,3.14,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PBA10M,1.79,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PBA10M,0.73,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PBA10M,2.24,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PBA10M,1.25,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PBA10M,0.26,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PBA10M,0,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PBA10M,0.2,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PBA10M,0.92,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,SIDEWALK,17929.8,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,SIDEWALK,6173.9,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,SIDEWALK,36071.1,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,SIDEWALK,1610.4,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,SIDEWALK,14420.3,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,SIDEWALK,2541.3,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,SIDEWALK,2084.2,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,SIDEWALK,11560.8,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,SIDEWALK,9223.7,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,SIDEWALK,116.2,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,SIDEWALK,6834.4,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,SIDEWALK,3928.3,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,SIDEWALK,3428.5,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,SIDEWALK,8146.4,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,SIDEWALK,7901.9,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,SIDEWALK,2746.2,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,L1000,55.5,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,L1000,37.3,-99
